"Anglais","Français"
"bill (n / vb) ","addition, facture / facturer "
"invoice (n / vb) ","facture / facturer "
"terms of payment ","modalités de paiement "
"letterhead ","en-tête, papier à en-tête "
"creditor ","créancier "
"shipping and handling ","port et manutention "
"units ","unités "
"amount due ","somme due "
"fine print ","petits caractères "
"fee ","frais "
"reminder ","rappel "
"fine ","amende "
"payable (adj) ","payable "
"pending (adj) ","en attente "
"void (adj / vb) ","nul, caduc "
"outstanding (adj) ","en retard, impayé "
"within (prep) ","dans les (30 jours...) "
"disregard (vb) ","ne pas tenir compte de "
"charge (vb) ","facturer "
"issue (vb) ","publier, éditer, faire (un chèque) "
