"Anglais","Français"
"trial period ","période d'essai "
"full-time / part-time ","à plein temps / à temps partiel "
"pay slip ","bulletin de paie "
"salary ","salaire "
"hourly wage ","salaire horaire "
"overtime ","heures supplémentaires "
"raise (n / vb) ","augmenter / augmentation "
"incentive ","motivation "
"benefits ","avantages "
"perks","avantages (en nature) "
"volunteer ","bénévole "
"freelance ","à son compte "
"agreement ","accord "
"amendment ","avenant "
"party ","partie "
"binding ","qui lie "
"hereunder ","ci-dessous "
"whereby ","selon lequel, par lequel "
"abide by (vb) ","respecter "
"be eligible (vb) ","avoir droit "
