"Anglais","Français"
"store, outlet ","magasin, point de vente "
"mall ","centre commercial "
"store associate ","employé de magasin "
"cashier ","caissier, caissière "
"shelf stocker ","employé qui remplit le rayon "
"loyalty ","confiance, fidélité de la clientèle "
"aisle ","allée "
"cart ","chariot "
"checkout, cash register ","caisse "
"receipt ","ticket de caisse "
"change ","monnaie "
"coupon ","bon (de réduction) "
"markdown ","réduction "
"sale / sales ","promotion / soldes "
"appliance ","appareil électroménager "
"dairy products ","produits laitiers "
"produce ","fruits et légumes "
"browsing ","à chercher, à jeter un coup d'œil "
"display (vb / n) ","exposer / présentoir "
"carry (vb) ","vendre "
