"Version Anglaise","Expression Française"
"a bitter pill","un truc dur à avaler (au sens figuré)"
"Achilles’ heel","un talon d’Achille / une faiblesse"
"from A to Z","de A à Z / en entier"
"proud as a peacock","fier comme un paon / coq"
"put the cart before the horse","mettre la charrue avant les boeufs"
"don’t judge a book by its cover","ne pas se fier aux apparences"
"add insult to injury","aggraver une situation"
"kill two birds with one stone.","faire d’une pierre deux coups"
"all ears","tout ouïe / écouter attentivement"
"cross one’s fingers","croiser les doigts"
"the apple of my eye","la prunelle de mes yeux"
"it’s not my cup of tea","ce n’est pas ma tasse de  thé / ce n’est pas mon truc"
"put all your eggs in one basket","mettre tous ses oeufs dans le même panier"
"drive you crazy","rendre fou"
"to beat around the bush","tourner autour du pot / contourner un sujet"
"as good as gold","adorable / bien élevé"
"a piece of cake","quelque chose de très facile"
"feel under the weather","ne pas se sentir bien / être malade"
"Bob’s your uncle","tout va bien / tout va bien se passer"
"like taking candy off a baby","très facile à faire"
"to do something for Britain","faire une chose à fond / s’investir"
"every cloud has a silver lining","il y a toujours du positif dans une situation négative"
"a pain in the neck / in the ass","pénible / ennuyeux (quelqu’un ou quelque chose)"
"cost an arm and a leg","quelque chose de cher / coûter un bras"
"play it by ear","avancer à l’aveuglette / au hasard / improviser"
"to get something off your chest","se soulager de quelque chose en parlant"
"to have cold feet","être inquiet / angoissé / regretter"
"to keep an eye on something","surveiller / garder un oeil sur quelque chose"
"to go over your head","ne pas comprendre quelque chose"
"the apple of my eye","la prunelle de mes yeux"
"work one’s fingers to the bone","travailler d’arrache-pieds"
"to catch somebody red-handed","prendre quelqu’un la main dans le sac"
"it is a piece of cake","c’est facile / simple"
"to bite off more than you can chew","avoir les yeux plus gros que le ventre : mais pas seulement pour l’alimentation"
"to be in a pickle / a bit of a pickle","avoir un problème (pas très grave)"
"to butter someone up","passer de la pommade / faire quelque chose pour obtenir les faveurs de quelqu’un"
"in a nutshell","très simplement / clairement"
"spill the beans","vendre la mèche"
"icing on the cake","la cerise sur le gâteau"
"a little bird told me","mon petit doigt m’a dit / j’ai entendu dire"
"and pigs can fly","quand les poules auront des dents"
"kill two birds with one stone","faire d’une pierre deux coups"
"sleep with the fishes","mourir"
"put the cat among the pigeons","créer des problèmes"
"let the cat out of the bag","révéler un secret"
"to have a frog in one’s throat","avoir un chat dans la gorge"
"it’s raining cats and dogs","il pleut des cordes"
"to eat like a horse","manger comme un ogre"
"put off","remettre au lendemain / procrastiner"
"take off","augmenter"
"people person","personne extravertie"
"have a lot on your plate","avoir beaucoup de responsabilités"
"selling like hotcakes","se vendre comme des petits pains / très bien se vendre"
"think outside the box","penser différemment / être créatif"
"win-win situation","situation gagnant-gagnant / bénéfique à tout le monde"
"test the waters","tâter le terrain"
"bang for the buck","tirer le maximum de profit"
"on the back burner","non prioritaire / qui peut attendre"
"in the red","dans le rouge / finances négatives"
"in the black","profit / bonnes finances"
