"Anglais","Français"
"employee of the month ","employé du mois "
"employee appreciation dinner ","dîner pour récompenser les employés "
"promotion ","promotion "
"schedule (n / vb) ","planning / planifier "
"agenda ","ordre du jour "
"(the) minutes ","compte-rendu "
"flip chart ","paper-board "
"convention ","congrès "
"outing ","sortie "
"attendee ","participant "
"a charity event ","un événement de bienfaisance "
"fundraiser ","collecte de fonds "
"retirement ","retraite "
"retirement reception ","pot de départ à la retraite "
"hold (vb) ","organiser (une réunion) "
"take place (vb) ","avoir lieu "
"lead (vb) ","mener "
"resume (vb) ","reprendre "
"postpone (vb) ","reporter "
"chair (vb / n) ","présider / président "
